ke	k @
ngundi	NG u n d i
manuk	m a n u KK
saati	s a KK a t i
perau	p @ r aw
nyungkakka	NJ u NG k a KK k a
lisin	l i s i n
simanggang	s i m a NG g a NG
pemereti	p @ m @ r e t i
ngumpul	NG u m p u l
nyaut	NJ a u t
nyediaka	NJ @ d j a k a
ngemansutka	NG @ m a n s u t k a
ngiring	NG i r i NG
mutosikal	m u t o s i k a l
dipansik	d i p a n s e KK
beungkus	b @ u NG k u s
pengerembai	p @ NG @ r @ m b aj
pemerindang	p @ m @ r i n d a NG
ngerapitka	NG @ r a p e t k a
kitu	k i t u
dituntung	d i t u n t o NG
ngisi	NG i s i
dikemendar	d i k @ m @ n d a r
penyukung	p @ NJ u k o NG
mauh	m o h
ngadaka	NG a d a k a
diungkup	d i u NG k o p
nyempulang	NJ @ m p u l a NG
diperatika	d i p @ r a t i k a
diempu	d i e m p u
diarika	d aj r i k a
penyanding	p @ NJ a n d i NG
nyamai	NJ a m @ i
mindah	m i n d a h
dibantaika	d i b a n t aj k a
ngelui	NG @ l u i
bekereja	b @ k @ r @ dZ a
singkang	s i NG k a NG
pemar	p @ m a r
bekuasa	b @ k w a s @
penudi	p @ n u d i
pematih	p @ m a t e h
ngumbai	NG u m b aj
bumai	b u m aj
pemandang	p @ m a n d a NG
pelasar	p @ l a s a
nunjukka	n u n dZ o KK k a
pemandai	p @ m a n d aj
ngemataka	NG @ m a t a k a
matak	m a t a KK
kumang	k u m a NG
ke-sepuluh	k @ s @ p u l o h
dipasuk	d i p a s o KK
beranakka	b @ r a n a KK k a
manyin	m a n j i n
beratka	b @ r a t k a
kelala	k @ l a l a
gempuru	g @ m p u r u
semilan	s @ m e l a n
dikemansangka	d i k @ m a n s a NG k @
besemak	b @ s @ m a KK
seharitu	s @ h a r i t u
sengapa	s @ NG a p @
pengaga	p @ NG a g @
ngempu	NG @ m p u
nimbal	n i m b a l
mulaika	m u l a i k a
berundingka	b @ r u n d i NG k a
nembuka	n @ m b u k @
meresi	m @ r e s i
sepengelama	s @ p @ NG @ l a m @
ningaka	n i NG a k @
bemain	b @ m aj n
turu	t u r u
bejuraika	b @ dZ u r aj k a
menijer	m @ n i dZ @
diulih	d i u l e h
ngerembai	NG @ r @ m b aj
dijapai	d i dZ a p aj
ngemutarka	NG @ m u t a k a
lebuhka	l @ b o h k a
begigaka	b @ g i g a k @
bungkur	b u NG k o
besemaya	b @ s @ m a j a
bempu	b @ m p u
begagaka	b @ g a g a k @
pedis	p @ d i s
dipaduka	d i p a d u k a
besedia	b @ s @ d j a
saup	s a o p
saspek	s a s p @ KK
mendingka	m @ n d i NG k a
enggi	@ NG g i
bekunsi	b @ k u n s i
dipejadika	d i p @ dZ a d i k a
biliun	b i l i j u n
penerebai	p @ n @ r @ b aj
ngenanka	NG @ n a n k a
tusah	t u s a h
ngelempungka	NG @ l @ m p o NG k a
dikembuan	d i k @ m b u a n
benasit	b @ n a s i t
bekualiti	b @ k u a l i t i
ditangkan	d i t a NG k a n
dikenataika	d i k @ n a t a i k a
deriba	d @ r i b a
pemancha	p @ m a n tS h a
gempung	g @ m p o NG
champian	tS e m p j @ n
pemansut	p @ m a n s o t
nangkan	n a NG k a n
bebasaka	b e b a s a k @
belagu	b @ l a g u
bakih	b a k e h
nansian	n a n s i a n
ditumbuh	d i t u m b o h
nyauka	NJ a u k a
bedaja	b @ d a dZ a
nasit	n a s e t
merindang	m @ r i n d a NG
bedagang	b @ d a g a NG
penau	p @ n aw
nyimpan	NJ i m p a n
riman	r i m a n
pengujung	p @ NG u dZ o NG
parai	p a r a i
midul	m i d u l
didinga	d i d i NG @
betatika	b @ t a t i k a
sadia	s a d j a
pengerugi	p @ NG @ r u g i
ngelamatu	NG @ l a m a t u
diperansang	d i p @ r a n s a NG
bejualka	b @ dZ w a l k a
ngabas	NG a b a s
meseti	m e s e t i
menyadi	m @ NJ a d i
tetemuka	t @ t @ m u k a
betanya	b e t @ NJ @
bebeli	b @ b @ l i
bebayar	b @ b a j a
menyana	m @ NJ a n @
irau	i r aw
disukung	d i s u k o NG
direjister	d i r @ dZ i s t @
pemaik	p @ m a e KK
nulis	n u l i s
nangkap	n a NG k a p
gadung	g a d o NG
dikeluarka	d i k @ l w a k a
besetuju	b @ s @ t u dZ u
sepiak	s @ p j a KK
mantah	m a n t a h
lenyau	l @ NJ aw
petenah	p @ t @ n a h
ngiling	NG i l i NG
ditinggang	d i t i NG g a NG
ngasilka	NG a s e l k a
engka	@ NG k a
snowdan	s n o d @ n
ngerijister	NG @ r i dZ i s t @
siti-siti	s i t i s i t i
sebauh	s @ b a o h
pemantu	p @ m a n t u
